Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů,Národ Sobě
586676,Terezín,336,216,212,17,0,0,27,0,12,21,3,2,0,0,1,22,0,4,44,0,0,32,0,2,1,0,24,0,0
586684,Tvarožná Lhota,744,449,445,21,0,2,26,1,32,34,4,4,2,0,0,35,0,7,134,0,1,93,0,0,0,0,47,2,0
586692,Uhřice,587,359,358,27,0,0,71,0,7,24,5,3,2,0,0,20,2,5,81,0,4,72,0,2,0,1,32,0,0
586706,Vacenovice,1 785,1 150,1 142,256,4,0,76,2,17,83,7,1,12,1,3,59,0,14,269,0,0,198,1,3,2,1,131,2,0
586714,Velká nad Veličkou,2 414,1 385,1 382,107,1,2,117,1,81,180,21,2,18,3,1,101,3,32,394,0,1,133,0,4,4,1,165,10,0
586722,Veselí nad Moravou,9 312,5 321,5 276,404,9,3,538,0,147,442,41,42,55,6,2,457,3,188,1 569,2,17,607,1,20,10,18,677,15,3
586731,Věteřov,412,276,275,13,0,0,52,0,5,25,1,3,3,0,1,23,0,10,43,0,2,62,0,3,0,0,29,0,0
586749,Vlkoš,869,497,493,32,1,1,67,0,10,40,6,1,8,0,2,42,0,11,142,0,1,52,0,4,2,0,70,0,1
586757,Vnorovy,2 464,1 492,1 482,100,2,1,103,0,52,75,11,9,21,2,2,115,0,35,469,3,0,287,1,3,8,4,176,2,1
586765,Vracov,3 712,2 105,2 098,242,3,0,168,2,59,205,30,11,29,2,4,151,1,54,657,3,2,145,2,12,0,3,303,6,4
586773,Vřesovice,506,291,287,16,0,0,35,1,16,33,6,3,6,1,0,22,0,6,88,1,0,16,0,1,0,0,28,8,0
586781,Žádovice,631,356,351,20,0,0,22,0,10,48,4,2,6,0,2,26,0,8,113,0,0,37,0,1,1,1,46,4,0
586790,Žarošice,872,556,554,52,0,0,83,0,20,38,6,3,3,0,1,49,0,23,98,0,0,127,0,2,1,0,48,0,0
586803,Ždánice,2 079,1 258,1 250,146,2,1,171,1,34,140,16,13,16,0,0,82,2,38,317,0,5,86,0,2,4,0,171,2,1
586811,Želetice,428,279,277,17,0,0,23,0,16,25,3,6,2,2,1,21,0,10,57,0,0,59,0,1,2,1,31,0,0
586820,Žeravice,858,530,524,54,0,0,41,4,21,53,2,5,12,0,2,36,2,5,181,3,2,47,0,2,1,0,47,4,0
586838,Žeraviny,167,105,105,1,0,0,18,0,2,4,1,1,2,0,0,5,0,1,26,0,0,31,0,0,0,0,13,0,0
